frame,keypoint,X,Y,Z,visible
2,Hips,[          0],[          0],[          0],0
2,RHip,[     43.925],[     6.6866],[     882.71],1
2,RKnee,[    -7.0996],[    -40.304],[     507.55],1
2,RAnkle,[      776.4],[     231.68],[     38.524],1
2,RFoot,[          0],[          0],[          0],0
2,LHip,[     92.428],[     181.51],[     893.71],1
2,LKnee,[     22.557],[     90.284],[     492.41],1
2,LAnkle,[    -20.238],[     189.28],[     148.01],1
2,LFoot,[          0],[          0],[          0],0
2,Spine,[          0],[          0],[          0],0
2,Neck,[          0],[          0],[          0],0
2,Head,[     340.28],[    -188.44],[     1558.9],1
2,RShoulder,[     131.45],[    -147.81],[     1359.5],1
2,RElbow,[     7.6816],[    -110.58],[       1142],1
2,RHand,[      14.88],[    -220.02],[     1065.1],1
2,LShoulder,[     312.92],[     27.375],[     1391.1],1
2,LElbow,[      260.5],[     95.298],[     1115.7],1
2,LHand,[     261.98],[    -124.08],[     1032.7],1
3,Hips,[          0],[          0],[          0],0
3,RHip,[     43.925],[     6.6866],[     882.71],1
3,RKnee,[    -7.0996],[    -40.304],[     507.55],1
3,RAnkle,[      776.4],[     231.68],[     38.524],1
3,RFoot,[          0],[          0],[          0],0
3,LHip,[     92.428],[     181.51],[     893.71],1
3,LKnee,[     22.557],[     90.284],[     492.41],1
3,LAnkle,[    -20.238],[     189.28],[     148.01],1
3,LFoot,[          0],[          0],[          0],0
3,Spine,[          0],[          0],[          0],0
3,Neck,[          0],[          0],[          0],0
3,Head,[     340.28],[    -188.44],[     1558.9],1
3,RShoulder,[     131.45],[    -147.81],[     1359.5],1
3,RElbow,[     7.6816],[    -110.58],[       1142],1
3,RHand,[      14.88],[    -220.02],[     1065.1],1
3,LShoulder,[     312.92],[     27.375],[     1391.1],1
3,LElbow,[      260.5],[     95.298],[     1115.7],1
3,LHand,[     261.98],[    -124.08],[     1032.7],1
4,Hips,[          0],[          0],[          0],0
4,RHip,[     43.925],[     6.6866],[     882.71],1
4,RKnee,[    -7.0996],[    -40.304],[     507.55],1
4,RAnkle,[      776.4],[     231.68],[     38.524],1
4,RFoot,[          0],[          0],[          0],0
4,LHip,[     92.428],[     181.51],[     893.71],1
4,LKnee,[     22.557],[     90.284],[     492.41],1
4,LAnkle,[    -20.238],[     189.28],[     148.01],1
4,LFoot,[          0],[          0],[          0],0
4,Spine,[          0],[          0],[          0],0
4,Neck,[          0],[          0],[          0],0
4,Head,[     340.28],[    -188.44],[     1558.9],1
4,RShoulder,[     131.45],[    -147.81],[     1359.5],1
4,RElbow,[     7.6816],[    -110.58],[       1142],1
4,RHand,[      14.88],[    -220.02],[     1065.1],1
4,LShoulder,[     312.92],[     27.375],[     1391.1],1
4,LElbow,[      260.5],[     95.298],[     1115.7],1
4,LHand,[     261.98],[    -124.08],[     1032.7],1
5,Hips,[          0],[          0],[          0],0
5,RHip,[     43.925],[     6.6866],[     882.71],1
5,RKnee,[    -7.0996],[    -40.304],[     507.55],1
5,RAnkle,[      776.4],[     231.68],[     38.524],1
5,RFoot,[          0],[          0],[          0],0
5,LHip,[     92.428],[     181.51],[     893.71],1
5,LKnee,[     22.557],[     90.284],[     492.41],1
5,LAnkle,[    -20.238],[     189.28],[     148.01],1
5,LFoot,[          0],[          0],[          0],0
5,Spine,[          0],[          0],[          0],0
5,Neck,[          0],[          0],[          0],0
5,Head,[     340.28],[    -188.44],[     1558.9],1
5,RShoulder,[     131.45],[    -147.81],[     1359.5],1
5,RElbow,[     7.6816],[    -110.58],[       1142],1
5,RHand,[      14.88],[    -220.02],[     1065.1],1
5,LShoulder,[     312.92],[     27.375],[     1391.1],1
5,LElbow,[      260.5],[     95.298],[     1115.7],1
5,LHand,[     261.98],[    -124.08],[     1032.7],1
6,Hips,[          0],[          0],[          0],0
6,RHip,[     43.925],[     6.6866],[     882.71],1
6,RKnee,[    -7.0996],[    -40.304],[     507.55],1
6,RAnkle,[      776.4],[     231.68],[     38.524],1
6,RFoot,[          0],[          0],[          0],0
