frame,keypoint,X,Y,Z,visible
2,Hips,[          0],[          0],[          0],0
2,RHip,[     12.359],[     60.623],[     931.75],1
2,RKnee,[          0],[          0],[          0],0
2,RAnkle,[          0],[          0],[          0],0
2,RFoot,[          0],[          0],[          0],0
2,LHip,[     101.53],[      185.4],[     925.78],1
2,LKnee,[          0],[          0],[          0],0
2,LAnkle,[          0],[          0],[          0],0
2,LFoot,[          0],[          0],[          0],0
2,Spine,[          0],[          0],[          0],0
2,Neck,[          0],[          0],[          0],0
2,Head,[        448],[    -211.51],[     1511.8],1
2,RShoulder,[     138.89],[    -122.07],[     1375.7],1
2,RElbow,[    -81.105],[    -143.32],[     1183.8],1
2,RHand,[     75.354],[    -192.12],[     1142.4],1
2,LShoulder,[     341.76],[     53.588],[     1386.1],1
2,LElbow,[     435.16],[     107.16],[     1148.3],1
2,LHand,[     526.78],[    -54.011],[     1160.7],1
3,Hips,[          0],[          0],[          0],0
3,RHip,[     12.359],[     60.623],[     931.75],1
3,RKnee,[          0],[          0],[          0],0
3,RAnkle,[          0],[          0],[          0],0
3,RFoot,[          0],[          0],[          0],0
3,LHip,[     101.53],[      185.4],[     925.78],1
3,LKnee,[          0],[          0],[          0],0
3,LAnkle,[          0],[          0],[          0],0
3,LFoot,[          0],[          0],[          0],0
3,Spine,[          0],[          0],[          0],0
3,Neck,[          0],[          0],[          0],0
3,Head,[        448],[    -211.51],[     1511.8],1
3,RShoulder,[     138.89],[    -122.07],[     1375.7],1
3,RElbow,[    -81.105],[    -143.32],[     1183.8],1
3,RHand,[     75.354],[    -192.12],[     1142.4],1
3,LShoulder,[     341.76],[     53.588],[     1386.1],1
3,LElbow,[     435.16],[     107.16],[     1148.3],1
3,LHand,[     526.78],[    -54.011],[     1160.7],1
4,Hips,[          0],[          0],[          0],0
4,RHip,[     12.359],[     60.623],[     931.75],1
4,RKnee,[          0],[          0],[          0],0
4,RAnkle,[          0],[          0],[          0],0
4,RFoot,[          0],[          0],[          0],0
4,LHip,[     101.53],[      185.4],[     925.78],1
4,LKnee,[          0],[          0],[          0],0
4,LAnkle,[          0],[          0],[          0],0
4,LFoot,[          0],[          0],[          0],0
4,Spine,[          0],[          0],[          0],0
4,Neck,[          0],[          0],[          0],0
4,Head,[        448],[    -211.51],[     1511.8],1
4,RShoulder,[     138.89],[    -122.07],[     1375.7],1
4,RElbow,[    -81.105],[    -143.32],[     1183.8],1
4,RHand,[     75.354],[    -192.12],[     1142.4],1
4,LShoulder,[     341.76],[     53.588],[     1386.1],1
4,LElbow,[     435.16],[     107.16],[     1148.3],1
4,LHand,[     526.78],[    -54.011],[     1160.7],1
5,Hips,[          0],[          0],[          0],0
5,RHip,[     12.359],[     60.623],[     931.75],1
5,RKnee,[          0],[          0],[          0],0
5,RAnkle,[          0],[          0],[          0],0
5,RFoot,[          0],[          0],[          0],0
5,LHip,[     101.53],[      185.4],[     925.78],1
5,LKnee,[          0],[          0],[          0],0
5,LAnkle,[          0],[          0],[          0],0
5,LFoot,[          0],[          0],[          0],0
5,Spine,[          0],[          0],[          0],0
5,Neck,[          0],[          0],[          0],0
5,Head,[        448],[    -211.51],[     1511.8],1
5,RShoulder,[     138.89],[    -122.07],[     1375.7],1
5,RElbow,[    -81.105],[    -143.32],[     1183.8],1
5,RHand,[     75.354],[    -192.12],[     1142.4],1
5,LShoulder,[     341.76],[     53.588],[     1386.1],1
5,LElbow,[     435.16],[     107.16],[     1148.3],1
5,LHand,[     526.78],[    -54.011],[     1160.7],1
6,Hips,[          0],[          0],[          0],0
6,RHip,[     12.359],[     60.623],[     931.75],1
6,RKnee,[          0],[          0],[          0],0
6,RAnkle,[          0],[          0],[          0],0
6,RFoot,[          0],[          0],[          0],0
6,LHip,[     101.53],[      185.4],[     925.78],1
6,LKnee,[          0],[          0],[          0],0
6,LAnkle,[          0],[          0],[          0],0
6,LFoot,[          0],[          0],[          0],0
6,Spine,[          0],[          0],[          0],0
6,Neck,[          0],[          0],[          0],0
6,Head,[        448],[    -211.51],[     1511.8],1
6,RShoulder,[     138.89],[    -122.07],[     1375.7],1
6,RElbow,[    -81.105],[    -143.32],[     1183.8],1
6,RHand,[     75.354],[    -192.12],[     1142.4],1
6,LShoulder,[     341.76],[     53.588],[     1386.1],1
6,LElbow,[     435.16],[     107.16],[     1148.3],1
6,LHand,[     526.78],[    -54.011],[     1160.7],1
7,Hips,[          0],[          0],[          0],0
7,RHip,[     16.728],[     67.776],[     863.42],1
7,RKnee,[          0],[          0],[          0],0
7,RAnkle,[          0],[          0],[          0],0
7,RFoot,[          0],[          0],[          0],0
7,LHip,[     101.84],[     199.61],[     863.18],1
7,LKnee,[          0],[          0],[          0],0
7,LAnkle,[          0],[          0],[          0],0
7,LFoot,[          0],[          0],[          0],0
7,Spine,[          0],[          0],[          0],0
7,Neck,[          0],[          0],[          0],0
