frame,keypoint,X,Y,Z,visible
2,Hips,[11753.22603958],[-677.21801602],[1154.97225161],1
2,RHip,[11871.26229105],[-782.18434287],[1186.08832194],1
2,RKnee,[12021.88927532],[-680.74689171],[749.58678908],1
2,RAnkle,[12056.66635405],[-707.3838956],[309.16214069],1
2,RFoot,[12169.6645585],[-631.63600831],[198.15104531],1
2,LHip,[11636.98605406],[-580.98661439],[1126.45974278],1
2,LKnee,[11716.54013231],[-603.10663653],[689.45653218],1
2,LAnkle,[11721.29919202],[-660.39474097],[246.82463032],1
2,LFoot,[11793.6511041],[-610.41971583],[124.72480774],1
2,Spine,[11733.01094788],[-641.62142071],[1483.53713256],1
2,Neck,[11659.54421063],[-614.22229743],[1764.62027855],1
2,Head,[11580.21392551],[-619.05180616],[1917.47704632],1
2,RShoulder,[11743.48346072],[-772.12935017],[1795.27325934],1
2,RElbow,[11877.07197699],[-771.85792475],[2038.7613512],1
2,RHand,[11706.44943705],[-677.00175591],[2229.74750175],1
2,LShoulder,[11568.72448607],[-486.87243739],[1690.86205178],1
2,LElbow,[11637.23744548],[-225.56529611],[1604.25445188],1
2,LHand,[11814.25097744],[-261.46662672],[1798.14756347],1
3,Hips,[11753.22603958],[-677.21801602],[1154.97225161],1
3,RHip,[11871.26229105],[-782.18434287],[1186.08832194],1
3,RKnee,[12021.88927532],[-680.74689171],[749.58678908],1
3,RAnkle,[12056.66635405],[-707.3838956],[309.16214069],1
3,RFoot,[12169.6645585],[-631.63600831],[198.15104531],1
3,LHip,[11636.98605406],[-580.98661439],[1126.45974278],1
3,LKnee,[11716.54013231],[-603.10663653],[689.45653218],1
3,LAnkle,[11721.29919202],[-660.39474097],[246.82463032],1
3,LFoot,[11793.6511041],[-610.41971583],[124.72480774],1
3,Spine,[11733.01094788],[-641.62142071],[1483.53713256],1
3,Neck,[11659.54421063],[-614.22229743],[1764.62027855],1
3,Head,[11580.21392551],[-619.05180616],[1917.47704632],1
3,RShoulder,[11743.48346072],[-772.12935017],[1795.27325934],1
